Index,0 [STRING(0x0)][0x0],1,0,0,0
3160,"Sanguine Horn Staff",7,"1001,1,3,0","0,0,0,0",2
3161,"Taurus Staff",7,"1001,1,7,0","0,0,0,0",2
3162,"Toothed Staghorn Staff",7,"1001,1,5,0","0,0,0,0",2
3163,"Aetherial Toothed Staghorn Staff",7,"1001,1,5,0","0,0,0,0",2
3164,"Tenfinger Tallstaff",7,"1001,1,3,0","0,0,0,0",2
3165,"Goathorn Staff",7,"1001,1,4,0","0,0,0,0",2
3166,"Aetherial Goathorn Staff",7,"1001,1,4,0","0,0,0,0",2
3167,"Toothed Goathorn Staff",7,"1001,1,6,0","0,0,0,0",2
3168,"Aetherial Toothed Goathorn Staff",7,"1001,1,6,0","0,0,0,0",2
3169,"Horn Staff",7,"1001,1,5,0","0,0,0,0",2
3170,"Aetherial Horn Staff",7,"1001,1,5,0","0,0,0,0",2
3171,"Lominsan Staff",7,"1001,1,7,0","0,0,0,0",2
3172,"Keep of Saints",7,"1002,2,1,0","0,0,0,0",2
3173,"Gridanian Staff",7,"1001,1,10,0","0,0,0,0",2
3174,"Black Horn Staff",7,"1001,1,7,0","0,0,0,0",2
3175,"Aetherial Black Horn Staff",7,"1001,1,7,0","0,0,0,0",2
3176,"Aubriest's Whisper",7,"1001,1,11,0","0,0,0,0",2
3177,"Ivory Staff",7,"1001,1,6,0","0,0,0,0",2
3178,"Aetherial Ivory Staff",7,"1001,1,6,0","0,0,0,0",2
3179,"Unfinished Stardust Rod",7,"1001,2,2,0","0,0,0,0",2
3180,"Giantsgall Longstaff",7,"1001,5,1,0","0,0,0,0",2
3181,"Maleficent Mogstaff",7,"1003,1,1,0","0,0,0,0",2
3182,"Garuda's Van",7,"1001,3,1,0","0,0,0,0",2
3183,"Astrolabe",7,"1004,1,1,0","0,0,0,0",2
3184,"Stardust Rod",7,"1001,2,1,0","0,0,0,0",2
3185,"Elder Staff",7,"1001,8,1,0","0,0,0,0",2
3186,"Weathered Grimoire",10,"1708,1,1,0","0,0,0,0",2
3187,"Leather Grimoire",10,"1708,1,3,0","0,0,0,0",2
3188,"Maple Picatrix",10,"1710,1,1,0","0,0,0,0",2
3189,"Engraved Leather Grimoire",10,"1708,1,3,0","0,0,0,0",2
3190,"Ash Picatrix",10,"1710,1,5,0","0,0,0,0",2
3191,"Hard Leather Grimoire",10,"1708,1,4,0","0,0,0,0",2
3192,"Aetherial Hard Leather Grimoire",10,"1708,1,4,0","0,0,0,0",2
3193,"Engraved Hard Leather Grimoire",10,"1708,1,4,0","0,0,0,0",2
3194,"Aetherial Engraved Hard Leather Grimoire",10,"1708,1,4,0","0,0,0,0",2
3195,"Yew Picatrix",10,"1710,1,4,0","0,0,0,0",2
3196,"Doctore's Grimoire",10,"1711,1,6,0","0,0,0,0",2
3197,"Serpent Private's Grimoire",10,"1708,1,5,0","0,0,0,0",2
3198,"Storm Private's Grimoire",10,"1708,1,5,0","0,0,0,0",2
3199,"Flame Private's Grimoire",10,"1708,1,5,0","0,0,0,0",2
3200,"Goatskin Grimoire",10,"1711,1,1,0","0,0,0,0",2
3201,"Aetherial Goatskin Grimoire",10,"1711,1,1,0","0,0,0,0",2
3202,"Brittle Picatrix",10,"1710,1,6,0","0,0,0,0",2
3203,"Pupil's Book of Brass",10,"1709,1,4,0","0,0,0,0",2
3204,"Engraved Goatskin Grimoire",10,"1711,1,1,0","0,0,0,0",2
3205,"Aetherial Engraved Goatskin Grimoire",10,"1711,1,1,0","0,0,0,0",2
3206,"Serpent Private's Picatrix",10,"1710,1,7,0","0,0,0,0",2
3207,"Storm Private's Picatrix",10,"1710,1,7,0","0,0,0,0",2
3208,"Flame Private's Picatrix",10,"1710,1,7,0","0,0,0,0",2
3209,"Pupil's Leather Grimoire",10,"1708,1,2,0","0,0,0,0",2
3210,"Book of Silver",10,"1709,1,1,0","0,0,0,0",2
3211,"Aetherial Book of Silver",10,"1709,1,1,0","0,0,0,0",2
3212,"Pupil's Book of Silver",10,"1709,1,5,0","0,0,0,0",2
3213,"Embossed Book of Silver",10,"1709,1,1,0","0,0,0,0",2
3214,"Aetherial Embossed Book of Silver",10,"1709,1,1,0","0,0,0,0",2
3215,"Gridanian Grimoire",10,"1708,1,8,0","0,0,0,0",2
3216,"Lominsan Grimoire",10,"1708,1,7,0","0,0,0,0",2
3217,"Ul'dahn Grimoire",10,"1708,1,9,0","0,0,0,0",2
3218,"Book of Mythril",10,"1709,1,6,0","0,0,0,0",2
3219,"Aetherial Book of Mythril",10,"1709,1,6,0","0,0,0,0",2
3220,"Ars Almadel",10,"1701,21,1,0","0,0,0,0",2
3221,"Ars Notoria",98,"1701,21,2,0","0,0,0,0",2
3222,"Gridanian Picatrix",10,"1711,1,8,0","0,0,0,0",2
3223,"Lominsan Picatrix",10,"1711,1,7,0","0,0,0,0",2
3224,"Ul'dahn Picatrix",10,"1711,1,9,0","0,0,0,0",2
3225,"Serpent Sergeant's Book of Bronze",10,"1709,1,9,0","0,0,0,0",2
3226,"Storm Sergeant's Book of Iron",10,"1709,1,8,0","0,0,0,0",2
3227,"Flame Sergeant's Book of Brass",10,"1709,1,10,0","0,0,0,0",2
3228,"Vintage Picatrix",10,"1710,1,3,0","0,0,0,0",2
3229,"Book of Electrum",10,"1709,1,2,0","0,0,0,0",2
3230,"Aetherial Book of Electrum",10,"1709,1,2,0","0,0,0,0",2
3231,"Pupil's Book of Mythril",10,"1709,1,7,0","0,0,0,0",2
3232,"Darklight Grimoire",10,"1708,1,6,0","0,0,0,0",2
3233,"Embossed Book of Electrum",10,"1709,1,2,0","0,0,0,0",2
3234,"Aetherial Embossed Book of Electrum",10,"1709,1,2,0","0,0,0,0",2
3235,"Unfinished Veil of Wiyu",10,"1705,1,2,0","0,0,0,0",2
3236,"Unfinished Omnilex",98,"1715,1,2,0","0,0,0,0",2
3237,"Cantamina Thavnaria",10,"1711,1,2,0","0,0,0,0",2
3238,"Medica Thavnaria",98,"1711,1,3,0","0,0,0,0",2
3239,"Gridanian Officer's Grimoire of Casting",10,"1701,12,1,0","0,0,0,0",2
3240,"Gridanian Officer's Grimoire of Healing",98,"1701,12,2,0","0,0,0,0",2
3241,"Lominsan Officer's Grimoire of Casting",10,"1701,11,1,0","0,0,0,0",2
3242,"Lominsan Officer's Grimoire of Healing",98,"1701,11,2,0","0,0,0,0",2
3243,"Ul'dahn Officer's Grimoire of Casting",10,"1701,13,1,0","0,0,0,0",2
3244,"Ul'dahn Officer's Grimoire of Healing",98,"1701,13,2,0","0,0,0,0",2
3245,"Erudite's Picatrix of Healing",98,"1711,1,5,0","0,0,0,0",2
3246,"Erudite's Picatrix of Casting",10,"1711,1,4,0","0,0,0,0",2
3247,"Ifrit's Grimoire",10,"1701,9,1,0","0,0,0,0",2
3248,"Ifrit's Codex",98,"1701,9,2,0","0,0,0,0",2
3249,"Garuda's Will",10,"1701,10,1,0","0,0,0,0",2
3250,"Garuda's Embrace",98,"1701,10,2,0","0,0,0,0",2
3251,"Majestic Mogtome",10,"1713,1,1,0","0,0,0,0",2
3252,"Munificent Mogtome",98,"1713,2,1,0","0,0,0,0",2
3253,"The Greater Key of Titan",10,"1714,1,1,0","0,0,0,0",2
3254,"The Holy Key of Titan",98,"1714,1,2,0","0,0,0,0",2
3255,"Deus Ex Verbis",10,"1702,1,1,0","0,0,0,0",2
3256,"Deus Ex Gratia",98,"1702,1,2,0","0,0,0,0",2
3257,"The Veil of Wiyu",10,"1705,1,1,0","0,0,0,0",2
3258,"Omnilex",98,"1715,1,1,0","0,0,0,0",2
3259,"Allagan Grimoire of Casting",10,"1701,7,1,0","0,0,0,0",2
3260,"Allagan Grimoire of Healing",98,"1701,3,1,0","0,0,0,0",2
3261,"Omnitome",10,"1706,1,1,0","0,0,0,0",2
3262,"Cognitome",98,"1706,1,2,0","0,0,0,0",2
3263,"Square Maple Shield",11,"101,7,2,0","0,0,0,0",2
3264,"Company Escutcheon",11,"101,23,1,0","0,0,0,0",2
3265,"Twin Adder Escutcheon",11,"101,14,1,0","0,0,0,0",2
3266,"Maelstrom Escutcheon",11,"101,12,1,0","0,0,0,0",2
3267,"Immortal Flames Escutcheon",11,"101,13,1,0","0,0,0,0",2
3268,"Worm-eaten Square Shield",11,"101,7,1,0","0,0,0,0",2
3269,"Tarnished Hoplon",11,"101,8,10,0","0,0,0,0",2
3270,"Bronze Hoplon",11,"101,8,1,0","0,0,0,0",2
3271,"Notched Buckler",11,"101,5,10,0","0,0,0,0",2
3272,"Round Shield",11,"101,2,1,0","0,0,0,0",2
3273,"Leather Targe",11,"101,1,13,0","0,0,0,0",2
3274,"Bronze Scutum",11,"101,4,1,0","0,0,0,0",2
3275,"Bronze Buckler",11,"101,5,1,0","0,0,0,0",2
3276,"Rusting Scutum",11,"101,4,7,0","0,0,0,0",2
3277,"Square Ash Shield",11,"101,7,4,0","0,0,0,0",2
3278,"Warded Round Shield",11,"101,2,4,0","0,0,0,0",2
3279,"Nightprowler's Targe",11,"101,1,2,0","0,0,0,0",2
3280,"Iron Hoplon",11,"101,8,3,0","0,0,0,0",2
3281,"Rotting Round Shield",11,"101,2,8,0","0,0,0,0",2
3282,"Vintage Square Shield",11,"101,7,2,0","0,0,0,0",2
3283,"Ironclad Bronze Buckler",11,"101,5,2,0","0,0,0,0",2
3284,"Aetherial Ironclad Buckler",11,"101,5,2,0","0,0,0,0",2
3285,"Iron Lantern Shield",11,"101,6,1,0","0,0,0,0",2
3286,"Iron Scutum",11,"101,4,2,0","0,0,0,0",2
3287,"Aetherial Iron Scutum",11,"101,4,2,0","0,0,0,0",2
3288,"Vintage Hoplon",11,"101,8,1,0","0,0,0,0",2
3289,"Thalassian Targe",11,"101,1,8,0","0,0,0,0",2
3290,"Viper-crested Round Shield",11,"101,2,5,0","0,0,0,0",2
3291,"Aetherial Viper-crested Round Shield",11,"101,2,5,0","0,0,0,0",2
3292,"Iron Kite Shield",11,"101,3,1,0","0,0,0,0",2
3293,"Aetherial Iron Kite Shield",11,"101,3,1,0","0,0,0,0",2
3294,"Goatskin Targe",11,"101,1,1,0","0,0,0,0",2
3295,"Aetherial Goatskin Targe",11,"101,1,1,0","0,0,0,0",2
3296,"Serpent Private's Targe",11,"101,1,4,0","0,0,0,0",2
3297,"Storm Private's Scutum",11,"101,4,1,0","0,0,0,0",2
3298,"Flame Private's Shield",11,"101,6,1,0","0,0,0,0",2
3299,"Shield of the Savage",11,"101,7,3,0","0,0,0,0",2
3300,"Waning Sun Pelta",11,"101,8,4,0","0,0,0,0",2
3301,"Bull Hoplon",11,"101,8,5,0","0,0,0,0",2
3302,"Aetherial Bull Hoplon",11,"101,8,5,0","0,0,0,0",2
3303,"Scarred Kite Shield",11,"101,3,6,0","0,0,0,0",2
3304,"Decorated Buckler",11,"101,5,3,0","0,0,0,0",2
3305,"Aetherial Decorated Buckler",11,"101,5,3,0","0,0,0,0",2
3306,"Decorated Iron Scutum",11,"101,4,3,0","0,0,0,0",2
3307,"Aetherial Decorated Iron Scutum",11,"101,4,3,0","0,0,0,0",2
3308,"Vintage Buckler",11,"101,5,1,0","0,0,0,0",2
3309,"Gridanian Square Shield",11,"101,7,7,0","0,0,0,0",2
3310,"Lominsan Kite Shield",11,"101,3,1,0","0,0,0,0",2
3311,"Ul'dahn Round Shield",11,"101,2,2,0","0,0,0,0",2
3312,"Bladed Lantern Shield",11,"101,20,1,0","0,0,0,0",2
3313,"Aetherial Bladed Lantern Shield",11,"101,20,1,0","0,0,0,0",2
3314,"Raptorskin Targe",11,"101,1,12,0","0,0,0,0",2
3315,"Thormoen's Purpose",11,"101,3,3,0","0,0,0,0",2
3316,"Aetherial Raptorskin Targe",11,"101,1,12,0","0,0,0,0",2
3317,"Gridanian Shield",11,"101,2,4,0","0,0,0,0",2
3318,"Gridanian Buckler",11,"101,5,4,0","0,0,0,0",2
3319,"Lominsan Lantern Shield",11,"101,20,3,0","0,0,0,0",2
3320,"Ul'dahn Scutum",11,"101,4,4,0","0,0,0,0",2
3321,"Ul'dahn Hoplon",11,"101,8,6,0","0,0,0,0",2
3322,"Vintage Scutum",11,"101,4,2,0","0,0,0,0",2
3323,"Cobalt Scutum",11,"101,4,4,0","0,0,0,0",2
3324,"Aetherial Cobalt Scutum",11,"101,4,4,0","0,0,0,0",2
3325,"Serpent Sergeant's Targe",11,"101,1,9,0","0,0,0,0",2
3326,"Serpent Sergeant's Hoplon",11,"101,8,9,0","0,0,0,0",2
3327,"Storm Sergeant's Targe",11,"101,1,11,0","0,0,0,0",2
3328,"Storm Sergeant's Hoplon",11,"101,8,8,0","0,0,0,0",2
3329,"Flame Sergeant's Targe",11,"101,1,8,0","0,0,0,0",2
3330,"Flame Sergeant's Shield",11,"101,6,5,0","0,0,0,0",2
3331,"Eagle-crested Round Shield",11,"101,2,6,0","0,0,0,0",2
3332,"Aetherial Eagle-crested Round Shield",11,"101,2,6,0","0,0,0,0",2
3333,"Vintage Round Shield",11,"101,2,3,0","0,0,0,0",2
3334,"Aubriest's Allegory",11,"101,7,11,0","0,0,0,0",2
3335,"Scorpion Shield",11,"101,8,7,0","0,0,0,0",2
3336,"Canopus Shield",11,"101,3,4,0","0,0,0,0",2
3337,"Warlock's Buckler",11,"101,5,8,0","0,0,0,0",2
3338,"Kite Shield",11,"101,3,2,0","0,0,0,0",2
3339,"Aetherial Kite Shield",11,"101,3,2,0","0,0,0,0",2
3340,"Cobalt Bladed Lantern Shield",11,"101,6,4,0","0,0,0,0",2
3341,"Aetherial Cobalt Bladed Lantern Shield",11,"101,6,4,0","0,0,0,0",2
3342,"Oxblood Targe",11,"101,1,5,0","0,0,0,0",2
3343,"Aetherial Oxblood Targe",11,"101,1,5,0","0,0,0,0",2
3344,"Vintage Kite Shield",11,"101,3,1,0","0,0,0,0",2
3345,"Direwolf Kite Scutum",11,"101,4,8,0","0,0,0,0",2
3346,"Darksteel Scutum",11,"101,4,6,0","0,0,0,0",2
3347,"Darksteel Buckler",11,"101,5,8,0","0,0,0,0",2
3348,"Spruce Round Shield",11,"101,2,5,0","0,0,0,0",2
3349,"The Wall of Crags",11,"101,21,1,0","0,0,0,0",2
3350,"Holy Shield",11,"101,11,1,0","0,0,0,0",2
3351,"Skjoldr",11,"101,17,1,0","0,0,0,0",2
3352,"Allagan Round Shield",11,"101,18,1,0","0,0,0,0",2
3353,"Ancient Buckler",11,"101,5,9,0","0,0,0,0",2
3354,"Onion Shield",11,"101,22,1,0","0,0,0,0",2
3355,"Weathered Saw",12,"5001,1,1,0","5081,1,1,0",2
3356,"Bronze Saw",12,"5001,1,2,0","5081,1,1,0",2
3357,"Amateur's Saw",12,"5001,1,2,0","5081,1,1,0",2
3358,"Chocobotail Saw",12,"5001,1,3,0","5081,1,1,0",2
3359,"Initiate's Saw",12,"5001,1,4,0","5081,1,1,0",2
3360,"Bas-relief Iron Saw",12,"5001,1,6,0","5081,1,1,0",2
3361,"Iron Chocobotail Saw",12,"5001,1,5,0","5081,1,1,0",2
3362,"Bas-relief Steel Saw",12,"5001,1,8,0","5081,1,1,0",2
3363,"Crosscut Saw",12,"5001,1,7,0","5081,1,1,0",2
3364,"Mythril Saw",12,"5001,1,9,0","5081,1,1,0",2
3365,"Mythril Chocobotail Saw",12,"5001,1,10,0","5081,1,1,0",2
3366,"Bas-relief Cobalt Saw",12,"5001,1,8,0","5081,1,1,0",2
3367,"Saw of the Luminary",12,"5002,1,1,0","5081,2,1,0",2
3368,"Ullikummi",12,"5003,1,1,0","5081,2,1,0",2
3369,"Amateur's Claw Hammer",13,"5041,1,1,0","5081,1,1,0",2
3370,"Bronze Claw Hammer",13,"5041,1,1,0","5081,1,1,0",2
3371,"Recruit's Claw Hammer",13,"5041,1,1,0","5081,1,1,0",2
3372,"Iron Claw Hammer",13,"5041,1,2,0","5081,1,1,0",2
3373,"Initiate's Claw Hammer",13,"5041,1,2,0","5081,1,1,0",2
3374,"Novice's Claw Hammer",13,"5041,1,2,0","5081,1,1,0",2
3375,"Steel Claw Hammer",13,"5041,1,3,0","5081,1,1,0",2
3376,"Wrapped Steel Claw Hammer",13,"5041,1,3,0","5081,1,1,0",2
3377,"Apprentice's Claw Hammer",13,"5041,1,3,0","5081,1,1,0",2
3378,"Mythril Claw Hammer",13,"5041,1,5,0","5081,1,1,0",2
3379,"Cobalt Claw Hammer",13,"5041,1,3,0","5081,1,1,0",2
3380,"Militia Claw Hammer",13,"5041,1,4,0","5081,1,1,0",2
3381,"Weathered Cross-pein Hammer",14,"5101,1,14,0","5181,1,1,0",2
3382,"Bronze Cross-pein Hammer",14,"5101,1,1,0","5181,1,1,0",2
3383,"Amateur's Cross-pein Hammer",14,"5101,1,1,0","5181,1,1,0",2
3384,"Birdsbeak Hammer",14,"5101,1,5,0","5181,1,1,0",2
3385,"Iron Cross-pein Hammer",14,"5101,1,2,0","5181,1,1,0",2
3386,"Initiate's Cross-pein Hammer",14,"5101,1,2,0","5181,1,1,0",2
3387,"Crowsbeak Hammer",14,"5101,1,6,0","5181,1,1,0",2
3388,"Heavy Crowsbeak Hammer",14,"5101,1,10,0","5181,1,1,0",2
3389,"Steel Cross-pein Hammer",14,"5101,1,3,0","5181,1,1,0",2
3390,"Steel Crowsbeak Hammer",14,"5101,1,7,0","5181,1,1,0",2
3391,"Wrapped Crowsbeak Hammer",14,"5101,1,11,0","5181,1,1,0",2
3392,"Cobalt Cross-pein Hammer",14,"5101,1,3,0","5181,1,1,0",2
3393,"Wrapped Hawksbeak Hammer",14,"5101,1,11,0","5181,1,1,0",2
3394,"Hammer of the Luminary",14,"5102,1,1,0","5181,2,1,0",2
3395,"Vulcan",14,"5101,2,1,0","5181,2,1,0",2
3396,"Amateur's File",15,"5141,1,1,0","5181,1,1,0",2
3397,"Bronze File",15,"5141,1,1,0","5181,1,1,0",2
3398,"Recruit's File",15,"5141,1,1,0","5181,1,1,0",2
3399,"Iron File",15,"5141,1,2,0","5181,1,1,0",2
3400,"Initiate's File",15,"5141,1,2,0","5181,1,1,0",2
3401,"Novice's File",15,"5141,1,2,0","5181,1,1,0",2
3402,"Steel File",15,"5141,1,3,0","5181,1,1,0",2
3403,"Apprentice's File",15,"5141,1,3,0","5181,1,1,0",2
3404,"Mythril File",15,"5141,1,6,0","5181,1,1,0",2
3405,"Cobalt File",15,"5141,1,3,0","5181,1,1,0",2
3406,"Militia File",15,"5141,1,4,0","5181,1,1,0",2
3407,"Weathered Doming Hammer",16,"5201,1,5,0","5282,1,1,0",2
3408,"Bronze Doming Hammer",16,"5201,1,1,0","5282,1,1,0",2
3409,"Amateur's Doming Hammer",16,"5201,1,1,0","5282,1,1,0",2
3410,"Bronze Raising Hammer",16,"5201,2,1,0","5282,1,1,0",2
3411,"Iron Doming Hammer",16,"5201,1,2,0","5282,1,1,0",2
3412,"Initiate's Doming Hammer",16,"5201,1,2,0","5282,1,1,0",2
3413,"Iron Raising Hammer",16,"5201,2,2,0","5282,1,1,0",2
3414,"Wrapped Iron Raising Hammer",16,"5201,2,5,0","5282,1,1,0",2
3415,"Steel Doming Hammer",16,"5201,1,3,0","5282,1,1,0",2
3416,"Steel Raising Hammer",16,"5201,3,2,0","5282,1,1,0",2
3417,"Cobalt Doming Hammer",16,"5201,1,3,0","5282,1,1,0",2
3418,"Cobalt Raising Hammer",16,"5201,2,3,0","5282,1,1,0",2
3419,"Mallet of the Luminary",16,"5202,1,1,0","5281,2,1,0",2
3420,"Kurdalegon",16,"5201,4,1,0","5281,2,1,0",2
3421,"Amateur's Pliers",17,"5241,1,1,0","5281,1,1,0",2
3422,"Bronze Pliers",17,"5241,1,1,0","5281,1,1,0",2
3423,"Recruit's Pliers",17,"5241,1,1,0","5281,1,1,0",2
3424,"Iron Pliers",17,"5241,1,2,0","5281,1,1,0",2
3425,"Initiate's Pliers",17,"5241,1,2,0","5281,1,1,0",2
3426,"Novice's Pliers",17,"5241,1,2,0","5281,1,1,0",2
3427,"Steel Pliers",17,"5241,1,3,0","5281,1,1,0",2
3428,"Apprentice's Pliers",17,"5241,1,3,0","5281,1,1,0",2
3429,"Mythril Pliers",17,"5241,1,6,0","5281,1,1,0",2
3430,"Cobalt Pliers",17,"5241,1,3,0","5281,1,1,0",2
3431,"Militia Pliers",17,"5241,1,4,0","5281,1,1,0",2
3432,"Weathered Chaser Hammer",18,"5301,1,1,0","5381,1,1,0",2
3433,"Bronze Chaser Hammer",18,"5301,1,2,0","5381,1,1,0",2
3434,"Amateur's Chaser Hammer",18,"5301,1,2,0","5381,1,1,0",2
3435,"Bronze Ornamental Hammer",18,"5301,1,9,0","5381,1,1,0",2
3436,"Iron Chaser Hammer",18,"5301,1,3,0","5381,1,1,0",2
3437,"Initiate's Chaser Hammer",18,"5301,1,3,0","5381,1,1,0",2
3438,"Iron Ornamental Hammer",18,"5301,1,11,0","5381,1,1,0",2
3439,"Steel Chaser Hammer",18,"5301,1,4,0","5381,1,1,0",2
3440,"Steel Ornamental Hammer",18,"5301,1,13,0","5381,1,1,0",2
3441,"Mythril Ornamental Hammer",18,"5301,1,12,0","5381,1,1,0",2
3442,"Mythril Lapidary Hammer",18,"5301,2,1,0","5381,1,1,0",2
3443,"Electrum Lapidary Hammer",18,"5301,2,2,0","5381,1,1,0",2
3444,"Gavel of the Luminary",18,"5322,1,1,0","5381,2,1,0",2
3445,"Urcaguary",18,"5301,3,1,0","5381,2,1,0",2
3446,"Amateur's Grinding Wheel",19,"5341,1,1,0","5361,1,2,0",2
3447,"Ragstone Grinding Wheel",19,"5341,1,1,0","5361,1,2,0",2
3448,"Recruit's Grinding Wheel",19,"5341,1,1,0","5361,1,2,0",2
3449,"Mudstone Grinding Wheel",19,"5341,1,1,0","5361,1,1,0",2
3450,"Initiate's Grinding Wheel",19,"5341,1,1,0","5361,1,1,0",2
3451,"Novice's Grinding Wheel",19,"5341,1,1,0","5361,1,1,0",2
3452,"Siltstone Grinding Wheel",19,"5341,1,1,0","5361,1,3,0",2
3453,"Apprentice's Grinding Wheel",19,"5341,1,1,0","5361,1,3,0",2
3454,"Garnet Grinding Wheel",19,"5341,1,1,0","5361,1,4,0",2
3455,"Basilisk Grinding Wheel",19,"5341,1,1,0","5361,1,3,0",2
3456,"Militia Grinding Wheel",19,"5341,1,1,0","5361,1,5,0",2
3457,"Weathered Head Knife",20,"5401,1,6,0","5481,1,1,0",2
3458,"Bronze Head Knife",20,"5401,1,1,0","5481,1,1,0",2
3459,"Amateur's Head Knife",20,"5401,1,1,0","5481,1,1,0",2
3460,"Brass Head Knife",20,"5401,1,2,0","5481,1,1,0",2
3461,"Initiate's Head Knife",20,"5401,1,3,0","5481,1,1,0",2
3462,"Iron Round Knife",20,"5401,2,1,0","5481,1,1,0",2
3463,"Iron Head Knife",20,"5401,3,1,0","5481,1,1,0",2
3464,"Silver Head Knife",20,"5401,1,3,0","5481,1,1,0",2
3465,"Steel Round Knife",20,"5401,2,2,0","5481,1,1,0",2
3466,"Mythril Head Knife",20,"5401,3,2,0","5481,1,1,0",2
3467,"Mythril Round Knife",20,"5401,4,1,0","5481,1,1,0",2
3468,"Electrum Head Knife",20,"5401,1,4,0","5481,1,1,0",2
3469,"Knife of the Luminary",20,"5402,1,1,0","5481,2,1,0",2
3470,"Pinga",20,"5401,5,1,0","5481,2,1,0",2
3471,"Amateur's Awl",21,"5441,1,1,0","5481,1,1,0",2
3472,"Bronze Awl",21,"5441,1,1,0","5481,1,1,0",2
3473,"Recruit's Awl",21,"5441,1,1,0","5481,1,1,0",2
3474,"Iron Awl",21,"5441,1,2,0","5481,1,1,0",2
3475,"Initiate's Awl",21,"5441,1,2,0","5481,1,1,0",2
3476,"Novice's Awl",21,"5441,1,2,0","5481,1,1,0",2
3477,"Steel Awl",21,"5441,1,3,0","5481,1,1,0",2
3478,"Wrapped Steel Awl",21,"5441,1,3,0","5481,1,1,0",2
3479,"Apprentice's Awl",21,"5441,1,3,0","5481,1,1,0",2
3480,"Mythril Awl",21,"5441,1,5,0","5481,1,1,0",2
3481,"Cobalt Awl",21,"5441,1,3,0","5481,1,1,0",2
3482,"Militia Awl",21,"5441,1,4,0","5481,1,1,0",2
3483,"Rusty Needle",22,"5501,1,14,0","0,0,0,0",2
3484,"Copper Needle",22,"5501,1,1,0","0,0,0,0",2
3485,"Bat Fang Needle",22,"5501,1,2,0","0,0,0,0",2
3486,"Amateur's Needle",22,"5501,1,2,0","0,0,0,0",2
3487,"Brass Needle",22,"5501,1,4,0","0,0,0,0",2
3488,"Initiate's Needle",22,"5501,1,4,0","0,0,0,0",2
3489,"Silver Needle",22,"5501,1,5,0","0,0,0,0",2
3490,"Worm Fang Needle",22,"5501,1,10,0","0,0,0,0",2
3491,"Mythril Needle",22,"5501,1,6,0","0,0,0,0",2
3492,"Wolf Fang Needle",22,"5501,1,10,0","0,0,0,0",2
3493,"Thousand Needle",22,"5501,1,9,0","0,0,0,0",2
3494,"Electrum Needle",22,"5501,1,6,0","0,0,0,0",2
3495,"Needle of the Luminary",22,"5502,1,1,0","0,0,0,0",2
3496,"Clotho",22,"5501,2,1,0","0,0,0,0",2
3497,"Amateur's Spinning Wheel",23,"5571,1,1,0","5561,1,1,0",2
3498,"Ash Spinning Wheel",23,"5571,1,1,0","5561,1,1,0",2
3499,"Recruit's Spinning Wheel",23,"5571,1,1,0","5561,1,1,0",2
3500,"Initiate's Spinning Wheel",23,"5571,1,1,0","5561,1,1,0",2
3501,"Elm Spinning Wheel",23,"5571,1,1,0","5561,1,3,0",2
3502,"Novice's Spinning Wheel",23,"5571,1,1,0","5561,1,3,0",2
3503,"Walnut Spinning Wheel",23,"5571,1,1,0","5561,1,2,0",2
3504,"Apprentice's Spinning Wheel",23,"5571,1,1,0","5561,1,2,0",2
3505,"Mahogany Spinning Wheel",23,"5571,1,1,0","5561,1,4,0",2
3506,"Rosewood Spinning Wheel",23,"5571,1,1,0","5561,1,2,0",2
3507,"Militia Spinning Wheel",23,"5571,1,1,0","5561,1,6,0",2
3508,"Weathered Alembic",24,"5601,1,4,0","5681,1,1,0",2
3509,"Bronze Alembic",24,"5601,1,1,0","5681,1,1,0",2
3510,"Amateur's Alembic",24,"5601,1,1,0","5681,1,1,0",2
3511,"Brass Alembic",24,"5601,1,2,0","5681,1,1,0",2
3512,"Initiate's Alembic",24,"5601,1,2,0","5681,1,1,0",2
3513,"Iron Alembic",24,"5601,1,3,0","5681,1,1,0",2
3514,"Conical Alembic",24,"5601,2,1,0","5681,1,1,0",2
3515,"Steel Alembic",24,"5601,2,1,0","5681,1,1,0",2
3516,"Silver Alembic",24,"5601,4,1,0","5681,1,1,0",2
3517,"Mythril Alembic",24,"5601,5,1,0","5681,1,1,0",2
3518,"Electrum Alembic",24,"5601,1,2,0","5681,1,1,0",2
3519,"Thermal Alembic",24,"5601,3,1,0","5681,1,1,0",2
3520,"Alembic of the Luminary",24,"5602,1,1,0","5682,1,1,0",2
3521,"Paracelsus",24,"5603,1,1,0","5682,1,1,0",2
3522,"Amateur's Mortar",25,"5641,1,1,0","5661,1,1,0",2
3523,"Bronze Mortar",25,"5641,1,1,0","5661,1,1,0",2
3524,"Recruit's Mortar",25,"5641,1,1,0","5661,1,1,0",2
3525,"Iron Mortar",25,"5641,1,2,0","5661,1,2,0",2
3526,"Initiate's Mortar",25,"5641,1,2,0","5661,1,2,0",2
3527,"Novice's Mortar",25,"5641,1,2,0","5661,1,2,0",2
3528,"Steel Mortar",25,"5641,1,3,0","5661,1,3,0",2
3529,"Heavy Steel Mortar",25,"5641,1,3,0","5661,1,3,0",2
3530,"Apprentice's Mortar",25,"5641,1,3,0","5661,1,3,0",2
3531,"Mythril Mortar",25,"5641,1,6,0","5661,1,6,0",2
3532,"Cobalt Mortar",25,"5641,1,3,0","5661,1,3,0",2
