Index, Name, Location, Other
545,"Primal Judgment (From Astral to Umbral)","~UwU Ifrit",""
546,"Under the Weight (From Astral to Umbral)","~UwU Titan",""
547,"Ultima (Orchestrial Version)","~UwU Ultima Weapon",""
548,"Monster Hunter World Rathalos","Phase 2","Monster Hunter World"
549,"Monster Hunter World Rathalos","Phase 1","Monster Hunter World"
550,"Monster Hunter World Result Screen","Completion of Duty","Monster Hunter World"
551,"Earth Wind and Water","Swallow's Compass",""
552,"Wayward Daughter Hushed","Tsukuyomi Mount",""
553,"World Map","FF/TCS",""
554,"A Chapel","FF/TCS",""
555,"To the Peak","(Ridorana Lighthouse)",""
556,"The Mystery of Giruvegan ","(Ridorana Lighthouse)",""
557,"FFXII Boss Theme ","(Ridorana Lighthouse)",""
558,"Apoplexy (Construct 7)","(Ridorana Lighthouse)",""
559,"Flash of Steel (Yiazmat)","(Ridorana Lighthouse)",""
560,"Victory Fanfare (FFXII version)","(Ridorana Lighthouse)",""
561,"Corner of the New World - Astera","Monster Hunter World","Monster Hunter World"
562,"Monster Hunter World","Monster Hunter World","Monster Hunter World"
563,"Monster Hunter World","Monster Hunter World","Rathalos introductory cutscene"
564,"Monster Hunter World","Monster Hunter World","Monster Hunter World"
565,"Monster Hunter World","Monster Hunter World","Monster Hunter World"
566,"Kugane MHW Theme","Kugane","Daytime Theme"
567,"Kugane MHW Theme","Kugane","Nighttime Theme"
568,"Looping in the Deepest Fringes","Stormblood battle variation","Kugane"
569,"UWU Magitek Bit","~UwU","Creepypasta edition"
570,"Wasshoi, Wasshoi!","Mikoshi mount",""
571,"Monster Hunter Theme","Generic",""
572,"Rathalos wipe","Failed Duty","Party Wipes/Out of Revives"
573,"Everywhere and Nowhere","AlphaScape/Cutscene","Alpha in Space"
574,"A Dream in Flight","AlphaScape/Cutscene","Alpha&Omega Adventure"
575,"Ending","AlphaScape/Cutscene","Alpha&Omega Adventure"
576,"Ending 2","AlphaScape/Cutscene","Epilogue"
577,"Unspoken","1.0 Coerthas",""
578,"Inner Recess","","Encounter"
579,"Neverborn","",""
580,"Starlight, Starbright","Old Gridania","Seasonal Event"
581,"Sunset","Hells' Kier",""
582,"Sunrise","Hells' Kier Phase 3",""
583,"A Land Long Dead ","(The Burn)",""
584,"From Mud","(Saint Mocianne's Arboretum Hard)",""
585,"Battle (Alphascape v1.0)","Alphascape",""
586,"eScape (Alphascape v3.0)","Alphascape",""
587,"Heartless (Omega M+F Theme)","Alphascape","O12"
588,"Sunrise Hushed","Suzaku Mount",""
589,"From the Heavens Hushed","Alphascape Mount",""
590,"Tyranical Ascian","Solus Soz Galvus",""
591,"From the Heavens Final Omega","Alphascape","O12 Savage"
592,"Crazy Motorcycle","SDS Fenrir Mount",""
593,"Dangertek","The Shifting of Altar of Uznair/Feast",""
594,"N/A","",""
595,"N/A","",""
596,"N/A","",""
597,"N/A","",""
598,"N/A","",""
599,"N/A","",""
600,"N/A","",""
601,"N/A","",""
602,"N/A","",""
603,"N/A","",""
604,"Broken Down","Final Fantasy XV",""
605,"Hammerhead","Final Fantasy XV",""
606,"Valse di Fantastica","Final Fantasy XV",""
607,"Relax and Reflect","Final Fantasy XV",""
608,"Daemons","Final Fantasy XV",""
609,"Prayer de LUNA","Final Fantasy XV",""
610,"Safe Haven","Final Fantasy XV",""
611,"Veiled in Black","Final Fantasy XV",""
612,"Horrors of the Night","Final Fantasy XV",""
613,"Apocalypsis Notic","Final Fantasy XV",""
614,"A Quick Pit Stop","Final Fantasy XV",""
615,"Prima Vista","Prima Vista",""
616,"Banga Banga Theme","Kugane CutScene",""
617,"Gentle Theme (stops after awhile)","Orbonne Monastery",""
618,"Adventure Theme","Orbonne Monastery",""
619,"Adventure Theme 2","Orbonne Monastery",""
620,"Alma's Theme","Orbonne Monastery",""
621,"Adventure Theme 3","Orbonne Monastery",""
622,"Adventure Theme 4","Orbonne Monastery",""
623,"Boss Theme","Orbonne Monastery",""
624,"Boss Theme","Orbonne Monastery",""
625,"Boss Theme","Orbonne Monastery",""
626,"Boss Theme","Orbonne Monastery",""
627,"Boss Theme","Orbonne Monastery",""
628,"Boss Theme","Orbonne Monastery",""
629,"Victory Theme","Orbonne Monastery",""
630,"Nail of the Heavens","Blue Mage Carnival",""
631,"Azulmagia fight","Blue Mage Carnival",""
632,"The Garden of Ru'Hmet","Baldesion Arsenal",""
633,"Onslaught","Baldesion Arsenal",""
634,"Turmoil","Baldesion Arsenal",""
635,"From the Dragon's Wake Hushed","Seiryu Mount",""
636,"StormBlood Theme","Kyubi Mount",""
637,"HullBreaker","Mount BGM Faded",""
638,"Mount theme","Mount BGM Faded",""
639,"Battle for Eorzea (MSQ)","The Ghimlyt Dark",""
640,"From the Dragon's Wake","The Wreath of Snakes Final Phase",""
641,"Doman Distractions","Gold Saucer",""
642,"Air Force One Victory","Gold Saucer",""
643,"Air Force One Fail","Gold Saucer",""
644,"Air Force One Loop","Gold Saucer",""
645,"Revolutions + His&Her Revelations","Rising Stones","The End Credits"
646,"ShadowBringers","n/a","The arrival of WOD/WOL"
647,"Tomorrow and Tomorrow - Reprise","The First",""
648,"A Better Tomorrow","The First",""
649,"Tears in the Rain","The First",""
650,"Dangerous Words","Solo Instance","MSQ / Side Quest Instances"
651,"High Treason","Solo instance","MSQ / Side Quest Instances"
652,"More than Truth","Cutscenes",""
653,"Paradisaical Predicaments","n/a","Post MSQ"
654,"Tomorrow and Tomorrow inst.","",""
655,"Tomorrow and Tomorrow vocal.","",""
656,"Vamo' alla flamenco","Certain Dancer CGS","Dancer "
657,"Piano Short","n/a",""
658,"The Lute","n/a",""
659,"The Dark Which Illuminates the World","Crystarium",""
660,"Knowledge Never Sleeps","Crystarium",""
661,"The Indulgence","Eulmore",""
662,"Masquerade","Eulmore",""
663,"The Source","n/a",""
664,"Unchanging, Everchanging","n/a",""
665,"A World Divided","n/a",""
666,"The Quick Way","n/a",""
667,"Sands of Amber","Amh Araeng","Orchastration roll"
668,"Sands of Blood","Amh Araeng",""
669,"Fierce and Free","Il Mheg",""
670,"The Faerie Ring","Il Mheg",""
671,"Civilizations","Ra'Tika Greatwoods","Orchastration roll"
672,"A Hopeless Race","Ra'Tika Greatwoods",""
673,"Full Fathom Five","Ra'Tika Greatwoods",""
674,"Neath Dark Waters","The Great Tempest","the Gentile Giant Folk"
675,"A Reason to Live","Il Mheg","FaeFolk"
676,"No Greater Sorrow","",""
677,"Rencounter 1","",""
678,"Rencounter 2","",""
679,"Rencounter 3","",""
680,"Rencounter 4","",""
681,"Rencounter 5","",""
682,"N/A","",""
683,"What Angel Wakes Me","The Dancing Plague",""
684,"Insanity","The Crown of Immaculate",""
685,"Who Brings Shadow","",""
686,"Invincible","",""
687,"To Fire And Sword","The Holminister Switch",""
688,"Figments","Dohn Mheg",""
689,"Unwound","Qitana Ravel",""
690,"Deep Down","Malikah's Well",""
691,"In The Belly Of The Beast","Mt. Gulg",""
692,"Mortal Instants","Amourot",""
693,"Shadows Withal","Acedmia Anyders",""
694,"A Long Fall","The Twinning",""
695,"Insatiable","Dungeons",""
696,"Blue Fields","",""
697,"Force Your Way","Eden's Gate:Resurrection/Descent",""
698,"Landslide","Eden's Gate:Sepulture",""
699,"On Our Fates Alight","",""
700,"What Angel Wakes Me (Mount)","The Dancing Plage EX",""
701,"Insanity (Mount)","The Crown of Immaculate EX",""
702,"Landslide (Mount)","Eden's Gate:Sepulture Savage",""
703,"Four-sided Circle","The Gold Saucer",""
704,"Four-fold Knowing","Login Screen",""
705,"Who Brings Shadow+TaT","The End Credits",""
706,"Locus (The Primals)","The Twining",""
707,"Tomorrow and Tomorrow 1","",""
708,"Tomorrow and Tomorrow 2","",""
709,"Tomorrow and Tomorrow (No vocals)","",""
710,"Shattered","",""
711,"Pain in Pleasure","",""
712,"Such as it Is","",""
713,"N/A","",""
714,"The Darks' Kiss","",""
715,"On Our Fates Alight","",""
716,"Unmatching Pieces","",""
717,"Blinding Indigo","Eden's Gate:Inundation",""
718,"N/A","",""
